branch,label,config,bandgap_eV,e_fermi_eV,d_CuN_mean,d_CuN_std,d_CuN_min,d_TaN_mean,d_TaN_std,d_TaN_min,d_metalN_mean,d_metalN_std
temperature_520.0,520 K,config_100,0.893347,5.247973,,,,,,,,
temperature_520.0,520 K,config_101,0.826919,5.210181,,,,,,,,
temperature_520.0,520 K,config_102,0.781196,5.257641,,,,,,,,
temperature_520.0,520 K,config_103,0.774952,5.260579,,,,,,,,
temperature_520.0,520 K,config_104,0.782703,5.243221,,,,,,,,
temperature_520.0,520 K,config_105,0.790518,5.247125,,,,,,,,
temperature_520.0,520 K,config_106,0.689868,5.271430,,,,,,,,
temperature_520.0,520 K,config_107,0.753327,5.316766,,,,,,,,
temperature_520.0,520 K,config_108,0.678531,5.254403,,,,,,,,
temperature_520.0,520 K,config_109,0.752427,5.253329,,,,,,,,
temperature_520.0,520 K,config_110,0.827960,5.232868,,,,,,,,
temperature_520.0,520 K,config_111,0.717683,5.207351,,,,,,,,
temperature_520.0,520 K,config_112,0.751454,5.254778,,,,,,,,
temperature_520.0,520 K,config_113,0.788629,5.203356,,,,,,,,
temperature_520.0,520 K,config_114,0.757192,5.260147,,,,,,,,
temperature_520.0,520 K,config_115,0.824998,5.193241,,,,,,,,
temperature_520.0,520 K,config_116,0.878400,5.190008,,,,,,,,
temperature_520.0,520 K,config_117,0.861462,5.195199,,,,,,,,
temperature_520.0,520 K,config_118,0.726655,5.265331,,,,,,,,
temperature_520.0,520 K,config_119,0.699059,5.244584,,,,,,,,
temperature_520.0,520 K,config_120,0.718931,5.243333,,,,,,,,
temperature_520.0,520 K,config_121,0.777943,5.200463,,,,,,,,
temperature_520.0,520 K,config_122,0.788077,5.199959,,,,,,,,
temperature_520.0,520 K,config_123,0.731625,5.254363,,,,,,,,
temperature_520.0,520 K,config_124,0.746475,5.238151,,,,,,,,
temperature_520.0,520 K,config_125,0.736746,5.263626,,,,,,,,
temperature_520.0,520 K,config_126,0.735109,5.254197,,,,,,,,
temperature_520.0,520 K,config_127,0.740627,5.244937,,,,,,,,
temperature_520.0,520 K,config_128,0.730995,5.316368,,,,,,,,
temperature_520.0,520 K,config_129,0.757497,5.206591,,,,,,,,
temperature_520.0,520 K,config_130,0.755773,5.245118,,,,,,,,
temperature_520.0,520 K,config_131,0.721919,5.261886,,,,,,,,
temperature_520.0,520 K,config_132,0.730150,5.258948,,,,,,,,
temperature_520.0,520 K,config_133,0.701053,5.232390,,,,,,,,
temperature_520.0,520 K,config_134,0.809118,5.246636,,,,,,,,
temperature_520.0,520 K,config_135,0.763191,5.239705,,,,,,,,
temperature_520.0,520 K,config_136,0.742998,5.253606,,,,,,,,
temperature_520.0,520 K,config_137,0.676824,5.234701,,,,,,,,
temperature_520.0,520 K,config_138,0.713256,5.245303,,,,,,,,
temperature_520.0,520 K,config_139,0.678350,5.258603,,,,,,,,
temperature_520.0,520 K,config_140,0.817905,5.205862,,,,,,,,
temperature_520.0,520 K,config_141,0.743668,5.270780,,,,,,,,
temperature_520.0,520 K,config_142,0.604266,5.271720,,,,,,,,
temperature_520.0,520 K,config_143,0.747489,5.252921,,,,,,,,
temperature_520.0,520 K,config_144,0.779626,5.198087,,,,,,,,
temperature_520.0,520 K,config_145,0.788063,5.196632,,,,,,,,
temperature_520.0,520 K,config_146,0.858119,5.184936,,,,,,,,
temperature_520.0,520 K,config_147,0.761642,5.264422,,,,,,,,
temperature_520.0,520 K,config_148,0.803424,5.185116,,,,,,,,
temperature_520.0,520 K,config_149,0.762020,5.248705,,,,,,,,
temperature_520.0,520 K,config_150,0.796850,5.205424,,,,,,,,
temperature_650.0,650 K,config_1,0.648269,5.328616,,,,,,,,
temperature_650.0,650 K,config_2,0.709094,5.237185,,,,,,,,
temperature_650.0,650 K,config_3,0.819983,5.209863,,,,,,,,
temperature_650.0,650 K,config_4,0.714431,5.237343,,,,,,,,
temperature_650.0,650 K,config_5,0.654460,5.253744,,,,,,,,
temperature_650.0,650 K,config_6,0.590388,5.267428,,,,,,,,
temperature_650.0,650 K,config_7,0.736422,5.256515,,,,,,,,
temperature_650.0,650 K,config_8,0.735814,5.252701,,,,,,,,
temperature_650.0,650 K,config_9,0.776727,5.242068,,,,,,,,
temperature_650.0,650 K,config_10,0.776334,5.242879,,,,,,,,
temperature_650.0,650 K,config_11,0.807073,5.227856,,,,,,,,
temperature_650.0,650 K,config_12,0.698971,5.271878,,,,,,,,
temperature_650.0,650 K,config_13,0.780090,5.185219,,,,,,,,
temperature_650.0,650 K,config_14,0.697717,5.217150,,,,,,,,
temperature_650.0,650 K,config_15,0.813166,5.201803,,,,,,,,
temperature_650.0,650 K,config_16,0.803556,5.201701,,,,,,,,
temperature_650.0,650 K,config_17,0.811162,5.273716,,,,,,,,
temperature_650.0,650 K,config_18,0.792992,5.198098,,,,,,,,
temperature_650.0,650 K,config_19,0.773599,5.191114,,,,,,,,
temperature_650.0,650 K,config_20,0.716105,5.249041,,,,,,,,
temperature_650.0,650 K,config_21,0.757720,5.236398,,,,,,,,
temperature_650.0,650 K,config_22,0.747417,5.245319,,,,,,,,
temperature_650.0,650 K,config_23,0.798035,5.262688,,,,,,,,
temperature_650.0,650 K,config_24,0.770133,5.257885,,,,,,,,
temperature_650.0,650 K,config_25,0.800952,5.195160,,,,,,,,
temperature_650.0,650 K,config_26,0.739687,5.187894,,,,,,,,
temperature_650.0,650 K,config_27,0.784772,5.207786,,,,,,,,
temperature_650.0,650 K,config_28,0.825925,5.253132,,,,,,,,
temperature_650.0,650 K,config_29,0.796582,5.256398,,,,,,,,
temperature_650.0,650 K,config_30,0.757804,5.260802,,,,,,,,
temperature_650.0,650 K,config_31,0.756823,5.254995,,,,,,,,
temperature_650.0,650 K,config_32,0.767510,5.246939,,,,,,,,
temperature_650.0,650 K,config_33,0.728815,5.263901,,,,,,,,
